2009,3,27,DELL,BUY,100
2009,4,3,DELL,SELL,100
2009,4,7,DELL,BUY,100
2009,4,15,DELL,SELL,100
2008,10,7,DFS,BUY,100
2008,10,14,DFS,SELL,100
2008,10,27,DFS,BUY,100
2008,11,3,DFS,SELL,100
2008,11,12,DFS,BUY,100
2008,11,19,DFS,SELL,100
2008,12,1,DFS,BUY,100
2008,12,8,DFS,SELL,100
2008,12,11,DFS,BUY,100
2008,12,18,DFS,SELL,100
2009,5,11,DFS,BUY,100
2009,5,18,DFS,SELL,100
2009,6,2,DFS,BUY,100
2009,6,9,DFS,SELL,100
2009,6,26,DFS,BUY,100
2009,7,6,DFS,SELL,100
2009,7,7,DFS,BUY,100
2009,7,14,DFS,SELL,100
2008,7,10,DHI,BUY,100
2008,7,17,DHI,SELL,100
2008,10,7,DHI,BUY,100
2008,10,14,DHI,SELL,100
2009,3,31,DHI,BUY,100
2009,4,7,DHI,SELL,100
2009,4,8,DHI,BUY,100
2009,4,16,DHI,SELL,100
2009,5,7,DHI,BUY,100
2009,5,14,DHI,SELL,100
2009,5,11,DHI,BUY,100
2009,5,18,DHI,SELL,100
2009,7,21,DHI,BUY,100
2009,7,28,DHI,SELL,100
2009,12,7,DHI,BUY,100
2009,12,14,DHI,SELL,100
2009,12,15,DHI,BUY,100
2009,12,22,DHI,SELL,100
2008,10,10,DNR,BUY,100
2008,10,17,DNR,SELL,100
2008,10,27,DNR,BUY,100
2008,11,3,DNR,SELL,100
2008,11,12,DNR,BUY,100
2008,11,19,DNR,SELL,100
2009,1,20,DNR,BUY,100
2009,1,27,DNR,SELL,100
2009,2,13,DOW,BUY,100
2009,2,23,DOW,SELL,100
2009,4,7,DOW,BUY,100
2009,4,15,DOW,SELL,100
2008,10,15,EMC,BUY,100
2008,10,22,EMC,SELL,100
2008,10,21,EMC,BUY,100
2008,10,28,EMC,SELL,100
2008,11,12,EMC,BUY,100
2008,11,19,EMC,SELL,100
2008,11,14,EMC,BUY,100
2008,11,21,EMC,SELL,100
2008,11,19,EMC,BUY,100
2008,11,26,EMC,SELL,100
2008,11,25,EMC,BUY,100
2008,12,3,EMC,SELL,100
2009,3,6,EMC,BUY,100
2009,3,13,EMC,SELL,100
2008,10,27,EXPE,BUY,100
2008,11,3,EXPE,SELL,100
2008,10,31,EXPE,BUY,100
2008,11,7,EXPE,SELL,100
2009,4,7,EXPE,BUY,100
2009,4,15,EXPE,SELL,100
2009,12,30,F,BUY,100
2009,12,30,F,SELL,100
2008,5,16,FHN,BUY,100
2008,5,23,FHN,SELL,100
2008,6,5,FHN,BUY,100
2008,6,12,FHN,SELL,100
2008,7,24,FHN,BUY,100
2008,7,31,FHN,SELL,100
2008,9,29,FHN,BUY,100
2008,10,6,FHN,SELL,100
2008,10,7,FHN,BUY,100
2008,10,14,FHN,SELL,100
2008,10,24,FHN,BUY,100
2008,10,31,FHN,SELL,100
2008,11,12,FHN,BUY,100
2008,11,19,FHN,SELL,100
2008,11,14,FHN,BUY,100
2008,11,21,FHN,SELL,100
2008,11,19,FHN,BUY,100
2008,11,26,FHN,SELL,100
2008,12,1,FHN,BUY,100
2008,12,8,FHN,SELL,100
2008,12,10,FHN,BUY,100
2008,12,17,FHN,SELL,100
2008,12,23,FHN,BUY,100
2008,12,31,FHN,SELL,100
2009,1,9,FHN,BUY,100
2009,1,16,FHN,SELL,100
2009,1,29,FHN,BUY,100
2009,2,5,FHN,SELL,100
2009,2,10,FHN,BUY,100
2009,2,18,FHN,SELL,100
2009,3,20,FHN,BUY,100
2009,3,27,FHN,SELL,100
2008,6,18,FITB,BUY,100
2008,6,25,FITB,SELL,100
2008,9,29,FITB,BUY,100
2008,10,6,FITB,SELL,100
2008,10,9,FITB,BUY,100
2008,10,16,FITB,SELL,100
2008,10,24,FITB,BUY,100
2008,10,31,FITB,SELL,100
2008,11,12,FITB,BUY,100
2008,11,19,FITB,SELL,100
2008,11,14,FITB,BUY,100
2008,11,21,FITB,SELL,100
2009,8,5,FITB,BUY,100
2009,8,12,FITB,SELL,100
2009,8,17,FITB,BUY,100
2009,8,24,FITB,SELL,100
2009,9,2,FITB,BUY,100
2009,9,10,FITB,SELL,100
2009,9,11,FITB,BUY,100
2009,9,18,FITB,SELL,100
2009,9,23,FITB,BUY,100
2009,9,30,FITB,SELL,100
2009,10,1,FITB,BUY,100
2009,10,8,FITB,SELL,100
2009,10,16,FITB,BUY,100
