,AAPL,GOOG,IBM,MSFT
2010-04-26 16:00:00,2.0342410163,-2.07965865217,1.11153891324,0.996382578783
2010-04-27 16:00:00,1.24935226869,-1.91040511077,-0.490737199244,0.603300261538
2010-04-28 16:00:00,1.09441721812,-1.65601720403,0.525587082436,0.615536239657
2010-04-29 16:00:00,1.5186687528,-1.34562968772,0.750795328757,0.648097945856
2010-04-30 16:00:00,0.795927559674,-1.46983666237,-0.545258800427,-0.0728293461728
2010-05-03 16:00:00,1.13373446984,-1.11439751045,-0.0330988740238,0.324411051899
2010-05-04 16:00:00,0.398399011428,-1.90148640423,-1.25022497584,-1.13535925977
2010-05-05 16:00:00,0.0912035443379,-1.54356017615,-1.67382974731,-1.95461798598
2010-05-06 16:00:00,-0.887881474989,-1.71625309683,-2.97453891105,-2.97871340976
2010-05-07 16:00:00,-1.78909640483,-1.66965830387,-2.8845980051,-2.97604301957
2010-05-10 16:00:00,-0.159533665585,-0.612522388767,-0.932774554286,-1.79984964441
2010-05-11 16:00:00,0.0186088841191,-0.974964368666,-0.615145094888,-1.63514685153
2010-05-12 16:00:00,0.515937356355,-1.05127667201,1.77059487262,-0.958810018833
2010-05-13 16:00:00,0.0788178403181,-0.817675454827,1.21826308064,-1.04712323282
2010-05-14 16:00:00,-0.4535670814,-0.897662013466,1.05386985204,-1.23075493468
2010-05-17 16:00:00,-0.464769115388,-0.790824089362,0.799784712471,-1.10093030204
2010-05-18 16:00:00,-0.761751871082,-1.22138028357,0.579843871804,-1.17137167223
2010-05-19 16:00:00,-1.13659963213,-1.366427878,0.133234579049,-1.36848333529
2010-05-20 16:00:00,-1.99239217104,-2.21946597278,-1.65344841282,-2.09439149218
2010-05-21 16:00:00,-1.37645203239,-2.10574030278,-0.963326448573,-1.99035916535
2010-05-24 16:00:00,-0.822483311075,-1.611504257,-1.18224344781,-2.08120950052
2010-05-25 16:00:00,-0.900047451091,-1.44734067817,-1.05879404717,-1.92198402523
2010-05-26 16:00:00,-0.925507647083,-1.38441055048,-1.3344041782,-2.22176707155
2010-05-27 16:00:00,0.206273992485,-0.509342586354,-0.254109773151,-1.44806275118
2010-05-28 16:00:00,0.681516318131,-0.708564016338,-0.575210396869,-1.42139207102
2010-06-01 16:00:00,1.2876420304,-0.845817937533,-0.795663553846,-1.25848134595
2010-06-02 16:00:00,1.59265924997,-0.0617706531554,0.208914990785,-0.805937698209
2010-06-03 16:00:00,1.37727555683,0.801693467496,0.368966811734,-0.455193863709
2010-06-04 16:00:00,0.450185444059,0.323396339602,-0.537127836414,-1.11283302745
2010-06-07 16:00:00,-0.291835976877,-0.56243888951,-0.999821852553,-1.31455748175
2010-06-08 16:00:00,-0.481091027018,-0.541300500865,-1.06356534907,-1.29444266665
2010-06-09 16:00:00,-1.19362169361,-1.2395164119,-0.930284236395,-1.35850052257
2010-06-10 16:00:00,-0.148222830281,-0.173366629853,0.446098244375,-1.12455102262
2010-06-11 16:00:00,0.314489764473,0.0394021561296,0.855407656606,-0.586772017796
2010-06-14 16:00:00,0.420239396663,-0.349139625418,1.01777934662,-0.638186282811
2010-06-15 16:00:00,1.12170010453,1.21653717641,1.64236916918,0.427593441222
2010-06-16 16:00:00,1.86090923525,1.51046844916,1.85575218131,0.339278021688
2010-06-17 16:00:00,2.02776561961,1.31732031773,1.93835493092,0.643413032815
2010-06-18 16:00:00,2.00276879363,1.18661881724,1.42217785448,0.862104087069
2010-06-21 16:00:00,1.4311760141,-0.0297776628968,1.43651216803,0.149381883435
2010-06-22 16:00:00,1.6065173736,-0.337503035565,0.836424007508,-0.114948959108
2010-06-23 16:00:00,1.19215027995,-0.85841148438,1.03487062061,-0.82199590789
2010-06-24 16:00:00,0.905900448157,-1.64645909089,0.2286593612,-1.34102055809
2010-06-25 16:00:00,0.589097989255,-1.67434081781,-0.223155130123,-1.832654854
2010-06-28 16:00:00,0.696136887504,-1.55489938823,0.47226104057,-1.85382103459
2010-06-29 16:00:00,-0.58818885291,-2.5503739306,-1.19525508125,-2.48357743333
2010-06-30 16:00:00,-0.993203790484,-2.51452247891,-1.65909161279,-2.28381228823
2010-07-01 16:00:00,-1.18730398905,-2.34044557712,-1.74497048075,-1.87438693285
2010-07-02 16:00:00,-1.24685677362,-2.08972985195,-1.78734205782,-1.55668044926
2010-07-06 16:00:00,-1.05971157818,-1.80751236911,-1.22943339096,-0.980871119687
2010-07-07 16:00:00,-0.149604188192,-1.04817559829,-0.127974659124,-0.524361891701
2010-07-08 16:00:00,-0.302598266826,-0.712783464684,0.136487287316,-0.415994500124
2010-07-09 16:00:00,-0.195064027987,-0.187070141757,0.127799644758,-0.498438508041
2010-07-12 16:00:00,-0.479898325192,0.217941577874,0.373156929156,0.00948979046415
2010-07-13 16:00:00,-1.06616999138,0.804005598012,0.957350077064,0.280375141437
2010-07-14 16:00:00,-0.904395962966,0.930912484423,1.00883839541,0.629043008572
2010-07-15 16:00:00,-0.944484571698,1.09388884008,0.996222723283,0.765904093546
2010-07-16 16:00:00,-1.00823066922,-0.442989289622,0.141821384878,0.260121732369
2010-07-19 16:00:00,-1.35307167361,-0.039258502672,0.765368886186,0.732632006455
2010-07-20 16:00:00,-0.57885603856,0.808117870351,-0.309677380827,1.08260282887
2010-07-21 16:00:00,-0.217065337555,0.624604937515,-0.698686533761,0.732953669213
2010-07-22 16:00:00,0.543646333141,1.01123842665,0.149949014555,1.51159406431
2010-07-23 16:00:00,0.828679618166,1.21241234746,0.48275897854,1.3631281016
2010-07-26 16:00:00,0.858624995613,1.07840405022,0.467526569707,1.49259597384
2010-07-27 16:00:00,1.92341328782,1.16756710138,0.55717319664,1.38741297624
2010-07-28 16:00:00,1.2160773819,0.687670172569,0.426506858198,1.07621704135
2010-07-29 16:00:00,0.617031119608,0.641981064977,0.200467629902,1.09059419044
2010-07-30 16:00:00,0.386069986742,0.560191192995,0.263068969774,0.787799262832
2010-08-02 16:00:00,1.18397375161,0.809013852076,1.36798341456,1.40237421877
2010-08-03 16:00:00,1.09977179795,0.7473198333,1.18279771311,1.11308610619
2010-08-04 16:00:00,1.22708101207,1.89564674211,1.57738948814,0.378704307274
2010-08-05 16:00:00,0.911284582148,1.89197126201,1.67433063129,-0.347398527278
2010-08-06 16:00:00,0.588055819411,1.13118500065,0.958252245597,-0.157266408668
2010-08-09 16:00:00,0.852558034544,1.40044266022,1.76490714441,-0.137529585721
2010-08-10 16:00:00,0.337897867315,1.15816500512,1.52957370986,-1.47397235142
2010-08-11 16:00:00,-1.42133893484,0.198302975327,0.524240165638,-1.76894746012
